Code,TASK
ET,EMPLOYEE TRAINING COM
SM,SAFETY MEETING
HR,HUMAN RESOURCES
CE,CONTINUING ED
TR,TRUCK MAINTENANCE
AT,APPRENTICESHIP CLASS
IT,I.T.
TM,TRAINING MEETING
OTH,OTHER
SUP,SUPERVISOR
DEL,DELIVERY
PTO,PAID TIME OFF IF AVAILABLE
S,SALES
BM,BUILDING MAINTENANCE
2SM,SERVICE SAFETY MEETING
2HR,SERVICE HUMAN RESOURCES
2CE,SERVICE CONTINUING ED
2IT,SERVICE I.T. COMPUTER ISSUE
2CR,SERVICE CLASSROOM TRAINING
2DEL,SERVICE DELIVERY
2CD,INSTRUCTOR CLASS DEVELOP
2IC,INSTRUCTOR IN CLASSROOM
2P,PICK UP EMPLOYEE IN TRAINING
2DC,SERVICE DISPATCH/CUST ISSUE
2TR,SERVICE TRUCK MAIN.
2OJT,SERVICE O.J.T
