"Code","TASK"
"100","DUCT WORK"
"105","DUCT INSULATION"
"110","FINISH, REGISTER, GRILLS "
"115","ROOF WORK,CURBS,FLUES,COND.DRAINS"
"125","CONDENSATION"
"130","GASPIPE"
"135","EQUIPMENT INSTALL"
"140","LINESETS"
"145","LINESET INSULATION "
"150","KITCHEN HOODS, GREASE DUCT"
"155","LOUVERS, FANS, DAMPERS"
"160","AIR BALANCE"
"163","START-UP EQUIPMENT"
"165","WARRANTY"
"170","DEMO"
"175","SPECIALTY"
"177","INSTALL FACTORY ACCESSORIES"
"180","FOREMAN DUTIES "
"185","JOB MEETINGS/COORDINATING"
"300","ROUGH IN"
"310","FINISH"
"335","EQUIPMENT INSTALL"
"501","FLASHING"
"502","GUTTER"
"503","ROUGH IN/FLUE PIPE"
"504","GASPIPE / LINESETS"
"505","BASEMENT DUCT"
"506","FURNANCE"
"507","FINISH / AC"
"508","START UP / WARRANTY"
"509","ROUGH IN CHECK LIST "
"510","FINISH CHECKLIST "
"511","WARRANTY"
"512","TIME/MATERIAL"
"531","MEASURE ROUGH IN "
"551","MEASURE BASEMENT "
"600","CONTROLS ROUGH IN "
"610","INSTALL FACTORY ACCESSORIES"
"620","CONTROLS FINISH WORK "
"630","START UP AND COMMISSIONING"
"640","CONTROLS WARRANTY "
"800","JOBSITE TRAINING"
"AOR","AOR"
"DEL","DELIVERY"
"DT","DRIVE TIME"
"PARK","Parking"
"SER","SERVICE WO"
